date,ndvi
2018-01-01,6614.297416077613
2018-01-17,6856.241148104292
2018-02-02,6836.0937864814805
2018-02-18,6819.689436307099
2018-03-06,7227.049050611853
2018-03-22,6923.250100421338
2018-04-07,6680.602514022776
2018-04-23,6963.016394184221
2018-05-09,6679.978702517502
2018-05-25,6422.290183145247
2018-06-10,6193.59124681477
2018-06-26,5872.944971571411
2018-07-12,5467.617950577501
2018-07-28,5223.352488450755
2018-08-13,5010.3826540952905
2018-08-29,4893.4313237094475
2018-09-14,4910.046109525275
2018-09-30,5011.075383112015
2018-10-16,5226.484749749206
2018-11-01,5356.767139226663
2018-11-17,6414.060883764334
2018-12-03,6839.830101642276
2018-12-19,7096.267335882858
2019-01-01,7164.483381985758
2019-01-17,7000.585947123272
2019-02-02,6712.241204297166
2019-02-18,6889.494638735912
